cycle,timestamp,equity,margin_used
50,1777011832.5850549,1000000.0,0.0
100,1777011832.5865657,1000000.0,0.0
150,1777011832.5875714,1000000.0,0.0
200,1777011832.5885725,1000000.0,0.0
250,1777011832.5895739,1000000.0,0.0
300,1777011832.590905,1000000.0,0.0
350,1777011832.5919821,1000000.0,0.0
400,1777011832.5930119,1000000.0,0.0
450,1777011832.594017,1000000.0,0.0
500,1777011832.5950165,1000000.0,0.0
550,1777011832.595521,1000000.0,0.0
600,1777011832.596526,1000000.0,0.0
650,1777011832.5980303,1000000.0,0.0
700,1777011832.599035,1000000.0,0.0
750,1777011832.6000354,1000000.0,0.0
800,1777011832.6000354,1000000.0,0.0
850,1777011832.601539,1000000.0,0.0
900,1777011832.602571,1000000.0,0.0
950,1777011832.6030853,1000000.0,0.0
1000,1777011832.6040897,1000000.0,0.0
1050,1777011832.605598,1000000.0,0.0
1100,1777011832.6065996,1000000.0,0.0
1150,1777011832.6081052,1000000.0,0.0
1200,1777011832.6091073,1000000.0,0.0
1250,1777011832.6101062,1000000.0,0.0
1300,1777011832.6111057,1000000.0,0.0
1350,1777011832.6121054,1000000.0,0.0
1400,1777011832.6131163,1000000.0,0.0
